2023-01-22 22:17:48 [http-nio-8080-exec-7] INFO  : [SongsController] -> GET, getSongById, songId:95
2023-01-22 22:17:59 [http-nio-8080-exec-8] INFO  : [SongsController] -> GET, getAllSongs: page:0, size:9, searchBy:null, searchedValue:null, match:null
2023-01-22 22:17:59 [http-nio-8080-exec-9] INFO  : [SongsController] -> GET, getSongById, songId:88
2023-01-22 22:17:59 [http-nio-8080-exec-10] INFO  : [SongsController] -> GET, getSongById, songId:91
2023-01-22 22:17:59 [http-nio-8080-exec-1] INFO  : [SongsController] -> GET, getSongById, songId:95
2023-01-22 22:18:27 [http-nio-8080-exec-2] INFO  : [SongsController] -> GET, getAllSongs: page:0, size:9, searchBy:null, searchedValue:null, match:null
2023-01-22 22:18:27 [http-nio-8080-exec-3] INFO  : [SongsController] -> GET, getSongById, songId:88
2023-01-22 22:18:27 [http-nio-8080-exec-4] INFO  : [SongsController] -> GET, getSongById, songId:91
2023-01-22 22:18:27 [http-nio-8080-exec-6] INFO  : [SongsController] -> GET, getSongById, songId:95
2023-01-22 22:18:30 [http-nio-8080-exec-7] INFO  : [SongsController] -> GET, getAllSongs: page:0, size:9, searchBy:null, searchedValue:null, match:null
2023-01-22 22:18:30 [http-nio-8080-exec-5] INFO  : [SongsController] -> GET, getSongById, songId:88
2023-01-22 22:18:30 [http-nio-8080-exec-8] INFO  : [SongsController] -> GET, getSongById, songId:91
2023-01-22 22:18:30 [http-nio-8080-exec-9] INFO  : [SongsController] -> GET, getSongById, songId:95
2023-01-22 22:18:39 [http-nio-8080-exec-10] INFO  : [SongsController] -> GET, getAllSongs: page:0, size:9, searchBy:null, searchedValue:null, match:null
2023-01-22 22:18:40 [http-nio-8080-exec-1] INFO  : [SongsController] -> GET, getSongById, songId:88
2023-01-22 22:18:40 [http-nio-8080-exec-2] INFO  : [SongsController] -> GET, getSongById, songId:91
2023-01-22 22:18:40 [http-nio-8080-exec-4] INFO  : [SongsController] -> GET, getSongById, songId:95
2023-01-22 22:19:02 [http-nio-8080-exec-6] INFO  : [SongsController] -> GET, getAllSongs: page:0, size:9, searchBy:null, searchedValue:null, match:null
2023-01-22 22:19:02 [http-nio-8080-exec-3] INFO  : [SongsController] -> GET, getSongById, songId:88
2023-01-22 22:19:02 [http-nio-8080-exec-8] INFO  : [SongsController] -> GET, getSongById, songId:95
2023-01-22 22:19:02 [http-nio-8080-exec-7] INFO  : [SongsController] -> GET, getSongById, songId:91
2023-01-22 22:19:05 [http-nio-8080-exec-9] INFO  : [SongsController] -> GET, getAllSongs: page:0, size:9, searchBy:null, searchedValue:null, match:null
